试题内容	答案
NS1600轨道起重机走行机构的啮合和分离时，储风缸的压力必须大于（   ）bar。	A
NS1600轨道起重机无负荷空转下逐步增加负荷，磨合的时间为（     ）h。	A
车轮踏面上的缺陷或剥离长度不超过(   )	C
车辆空车脱轨在一侧拉复使用的钢丝绳的直径为（）。	B
NS1600轨道起重机运输高度 (      )	C
"起重机自力走行的速度不得超过其规定。在上下转盘、接近尽头线、出入厂房、出入检衡线及连挂车辆时,速度不得超过（    ）。"	B
" 起重机自力走行的速度不得超过其规定。在上下转盘、接近尽头线、出入厂房、出入检衡线及连挂车辆时,速度不得超过（    ）。"	B
NS1600轨道起重机第三节臂有几个工作位置（    ）	B
NS1600轨道起重机工况2071中支腿支撑距形式为(  ).	C
NS1600轨道起重机的起重臂伸缩长度为（   ）。	A
NS1600轨道起重机机吊臂初始限高为（     ）	B
NS1600轨道起重机吊臂初始限高为（     ）	B
轨道起重机在超过（   ）坡度的长大坡道作业线路时，应与机车连挂，防止起重机溜走。	C
使用梯子时梯子与地面的角度以（   ）为宜。	C
在主型轨道起重机中，(    )级别的起重机可以利用邻线整体吊复DF。内燃机车。	C
NS1600轨道起重机伸缩臂轨道起重机在网下幅度11m范围内起吊(   )带载伸缩。	C
NS1600轨道起重机吊臂平车最大整备重量（   ）。	C
NS1600轨道起重机吊钩钢丝绳涂抹润滑脂周期为(  )	C
车轮踏面磨耗深度不超过(   ) mm；	B
敞车C61的自重为（）T    C
 在坡道上停放起重机时，应打好止轮器并拧紧手闸，在（   ）以上的坡道上作业时应连挂机车。	C
NS1600轨道起重机三节臂轨道起重机起重臂全缩长度为(  )。	C
NS1600轨道起重机正常工作所需风压值为（   　）	B
NS1600轨道起重机在工况为2271时的支腿跨距为（     ）	B
NS1600轨道起重机柴油机停机前，应使柴油机在无负荷状态下，怠速运转（  ）分钟，然后将点火开关转至零位。	A
在坡道上停放起重机时，应打好止轮器并拧紧手闸，在（   ）以上的坡道上作业时应连挂机车。	C
每次起吊前须经过试吊，当物件吊起少许大于( )㎜离开地面时，应暂停起升。 	A
NS1600轨道起重机自力走行时的最高速度为（   ）	B
车钩中心水平线距钢轨顶面高度为(    ) mm。	B
NS1600轨道起重机±30°回转，支腿跨距6m×13m，挂活动配重，工作幅度15m，可起吊(   。	C
NS1600轨道起重机在工况为2272时，配重的工作半径为（   　）	B
NS1600轨道起重机自力运行时空气压力应达(    )方可进行。	C
NS1600轨道起重机机支腿支撑油缸的最大行程（     ）	C
NS1600轨道起重机自身稳定性在不工作时沿轨道方向稳定系数砭为(     )。	C
NS1600轨道起重机需要（       ）的外接电源提供预热。	C
NS1600轨道起重机出现ＳＡ４０１错误报警时（  　）	C
起吊物件时，司机应注意勿使吊钩与吊臂滑车间距离小于(   )。	C
NS1600轨道起重机应尽可能避免在10°~30°区内起吊额定重量，因为此时支腿(   )。	C
NS1600轨道起重机电路图中，下列哪个编号为继电器（　 　）	A
液压系统双向液压锁锁不住的故障原因是（         ）。	C
NS1600轨道起重机，为臂架平车上的支撑系统补充压力时，压力由哪个泵提供（  ）	A
在机车上部和高处作业时，要站稳抓牢，做好安全防护措施佩戴好（   ）。	C
作业中必须按规定着装、佩戴防护用品和正确使用防护用具，严格执行（    ）规程。	B
禁止起重机在（    ）以上大风及不能确保安全的恶劣天气条件下进行作业。	B
 禁止起重机在（    ）以上大风及不能确保安全的恶劣天气条件下进行作业。	B
NS1600轨道起重机禁止在负荷状况下，改变（     ）机构的工作设置。	B
不属于配重卷线盒的检查范围的是（       ）。	C
各种电动机具要安装（   ），除按规定日期检查绝缘电阻外，每次使用前也必须对绝缘进行检查。	B
回送NS1600轨道起重机机，应挂于列车（      ）。	C
起重作业时，应穿戴各项防护服装，不论冬夏，均须戴(   )。	B
NS1600轨道起重机在（    ）状态下，必须锁定自动调平装置。	A
NS1600轨道起重机只要座位上无人时（    ）就会失效。	B
机车车辆脱轨事故发生在站外或车站咽喉道岔处，应采取（     ）开通线路比较有利。	C
事故车辆走行部损坏、歪倒离开线路较远或破损车辆叠压成堆时，应使用（   ）开用线路。	C
NS1600轨道起重机到段(厂)修后，应对丢失和损坏的机件进行（  ）。	A
NS1600轨道起重机使用双回转（摆动）功能，幅度在20～24.5m、摆动角度在±15°范围内，使用辅助支撑可（    ）额定起重量	B
NS1600轨道起重机运行中，由于相对运动的机件之间要（  ），从而引起机件的损耗和发热。	A
下列哪项属于NS1600轨道起重机接地连接的安装位置？（     ）	C
车辆脱轨多数发生在专用线或线路施工地段的形式是（ ）。	C
在带电的接触网下，禁止到各种（   ）上进行任何作业。	B
由运动速度改变而引起的质量力，即惯性力称为（ ）。	C
由运动速度改变而引起的质量力，即惯性称为(     )。	A
对有爆炸、燃烧危险的物品等要按规定妥善（   ）和管理。	C
复轨器的有效跨度系指(    )。	A
NS1600轨道起重机三节臂（   ）伸缩。	B
指挥NS1600轨道起重机紧急停车的手信号为（   ）	A
NS1600轨道起重机2071工况的“0”代表（  ）	A
NS1600轨道起重机动车后退的手信号为（        ）。	A
指挥NS1600轨道起重机动力前走的手信号为（      ）。	B
指挥轨道起重机动力前走的手信号为（      ）。	B
指挥NS1600轨道起重机动车后退的手信号为（        ）。	A
安放后的道岔复轨器，其顶平面应（   ）。	A
如果把起重机的自重看作是加在杠杆一端的力，它产生（    ）起重机倾翻的力。	B
所有接触网设备，自（   ）受电开始，在未办理停电接地手续之前，均按有电对待。	A
NS1600轨道起重机作业时，任何人不得在(   )及吊件下面站立或通过。	C
在NS1600轨道起重机起重装吊作业中主要起拴挂联吊具作用的为（ ）。	B
当车辆脱轨距离过远（超过240mm），采用的复轨方法是（  ）。	C
"NS1600轨道起重机作业的显示方式,两臂高举,手心向上,上下摆动是要求(     )。"	A
"NS1600轨道起重机作业的显示方式,两臂高举,手心向上,上下摆动是要求(     )。 "	A
在选择索点时，错误的是 (   )。	C
NS1600轨道起重机在自走行时，一旦超过允许最大速度，推进机构（     ）	B
NS1600轨道起重机应尽可能避免在10度－30度区内起吊额定重量，因为此时的支腿（         ）。	A
NS1600轨道起重机应尽可能避免在10°-300°区内起吊额定重量，因为此时支腿 (  )。	C
NS1600轨道起重机应尽可能避免在10°～30°区内起吊额定重量，因为此时支腿(     )。	A
NS1600轨道起重机的发动机为6缸水冷、4冲程（    ）及二次增压空气冷却的柴油机发动机。	C
柴油机不启动时，禁止开启(   )。	C
如果把吊钩上的吊物重量看作是加在杠杆一端的力，它产生使起重机（    ）。	C
NS1600轨道起重机工作过程中，突然起吊和下降，突然制动都会产生不利于稳定的（     ）。	B
NS1600轨道起重机工作过程中，突然起吊和下降，突然制动都会产生不利于稳定的(     )。	A
NS1600轨道起重机工作过程中，突然起吊和下降，突然制动都会产生不利于稳定的（  ）。	A
起复车辆时，车架转向架与车体连接使用工具错误的一项是（）。	A
NS1600轨道起重机的稳定性原理实际就是（  ）	C
机车各轮全部脱轨时，应选用(    )进行起复。	C
起重机进入作业区前，司机应确认空中是否有（   ）或其他障碍物。	A
柴油机达不到额定功率怎样处理（     ）。	C
由于起重机的金属结构与机构系统都是弹性系数，再作业中，各质量的速度作周期性地变化，因而产生周期性的惯性力，称为（  ）。	B
柴油机在某一不变转速下，其主要性能指标随（  ）变化而变化的规律，称为柴油机的负荷特性。	B
NS1600轨道起重机的稳定性叙述错误的是(  )。	A
柴油机冒黑烟有时是因(     )。	A
柴油机冒黑烟有时因（  ）。	A
起吊作业的规定，( )。	B
NS1600轨道起重机吊钩对挂绳的要求，( )。	A
起吊作业的规定，( )。 	B
NS1600轨道起重机吊钩对挂绳的要求，( )。 	A
NS1600轨道起重机在吊起物件指挥翻转时，应使其( )，不应产生指挥意图之外的动作。	B
NS1600轨道起重机在吊起物件指挥翻转时，应使其( )，不应产生指挥意图之外的动作。 	B
除考虑起吊载荷和起重机自重之外，还应考虑风力、坡度、惯性力、离心力、对稳定性的影响是指起重机的（      ）。	C
活塞冷却方式有(   )。	C
两台起重机起吊机车时应分别起吊少许使机车保持平衡，然后(   )到一定高度：	C
由起升机构吊起的货物和取物装置以及其他随同升降的装置重量之总和称为为（     ）。	B
由起升机构吊起的货物和取物装置以及其他随同升降的装置重量之总和称为为（  ）。	C
NS1600轨道起重机自身重量及电气设备等重量称为(     )。	C
NS1600轨道起重机到段(厂)、修后，应对全机(     )进行认真的检查。	B
NS1600轨道起重机能够吊起重物的重量称为起重机的(     )，国标用“Q”表示。	A
典型救援工况的起重力矩是起重量（  ）工作幅度。	A
NS1600轨道起重机重作业结束后、司机应按要求（     ），保养起重机。	C
NS1600轨道起重机起重作业结束后、司机应按要求（     ），保养起重机。	B
在（    ）情况下过载保护装置会瞬间启动可能会发生事故。	A
在（    ）情况下过载保护装置会瞬间启动可能会发生事故。 	A
NS1600轨道起重机交车在各项试验结束后，经（  ）确认产品质量合格，填写验收交接书。	C
NS1600轨道起重机交车在各项试验结束后，经(     )确认产品质量合格，填写验收交接书。	C
"在电气化铁路上,接触网的（  ）通常均带有高压电,因此禁止直接或间接地通过任何物件,如棒条.导线.水流等与上述设备相接触。"	A
当电气设备发生火灾时，要立即将该设备的（   ），然后按规定采取有效措施灭火。	A
在电气化区段需要停电作业时，必须申请停电，接到停电命令，做好（   ）后方准作业。	C
修理带有压力的部件时，应首先（   ），方准进行工作。	A
NS1600轨道起重机出现ＥＦＯ报警代码时表示（  　）	A
NS1600轨道起重机出现ＥＦＯ报警代码时表示（　 　）	C
NS1600轨道起重机因固必须立即放下吊起的物件但又不能放下时，司机应（     ）。	B
用两台起重机吊复机车车辆时，为减小两台起重机的载荷差异，应(    )。	B
高重心的物体应在(    )加索。	A
横拉长物体时，索点的位置应选择在(    )。	A
吊方形物体，吊索应在(    )。	B
NS1600轨道起重机卷筒上钢丝绳常用固定方法是(     )。	A
NS1600轨道起重机卷筒上钢丝绳常用固定方法是(     )。 	A
吊钩材料应具有较高的机械强度和（  ）。	C
吊钩材料应具有较高的机械强度和(     )。	C
机车、车辆在桥梁上脱轨时，起复作业方法是（  ）。	A
柴油机在某一不变转速下，其主要性能指标随（       ）变化而变化的规律，称为柴油机的负荷特性。	C
在起升平面内。起重臂纵向中心线与水平线的夹角为（        ）。	C
事故救援中使机车车辆复轨的方法有（    ）。	B
事故车辆中装有危险品、爆炸品或贵重物品，使用起重机又靠不上时，采取（    ）使车辆离开线路。	B
事故车辆走行部损坏、歪倒离开线路较远或损坏车辆叠压成堆时，应使用（    ）开通线路。	C
事故救援中使机车车辆复轨的方法有（   ）。	B
在连架杆中，能绕机架的固定铰链作整周转动的称为(     )。	C
NS1600轨道起重机到段(厂)修后，应对各减速器和联轴器(     )进行全面检查。	B
NS1600轨道起重机到段(厂)修后，应对各减速器和联轴器（ ）进行全面检查。	B
指挥NS1600轨道起重机作业时，指挥人员指挥吊臂升起的手信号为（      ）。	B
指挥NS1600轨道起重机作业时，指挥人员指挥吊臂降落的手信号为（      ）。	B
"两台起重机起吊脱线倾斜较大机车作业中,叙述不正确的是(   )。"	C
在调车作业中，单机运行或牵引车辆运行时，前方进路的确认由（      ）负责。	C
救援列车出动时可不挂（    ）。	B
 救援列车出动时可不挂（    ）。	B
机油黏度过大导致机油(   )。	A
NS1600轨道起重机回送状态下车3个指示窗显示（     ）表示可以牵引回送。	C
NS1600轨道起重机稳定性分为：非工作状态下自身稳定性和工作状态下的（    ）。	C
NS1600轨道起重机稳定性分为：非工作状态下自身稳定性和工作状态下的（   ）。	B
NS1600轨道起重机司机在起复作业中，当信号显示不时应（      ）再作业。	B
NS1600轨道起重机，柴油发动机机油油位检查周期为（    ）	A
NS1600轨道起重机，柴油发动机机油油位检查周期为（         ）	A
NS1600轨道起重机，柴油发动机机油油位检查周期为（  ）	A
NS1600轨道起重机转速表(    )校验一次。	C
液压系统液压油缸活塞不伸或不缩的故障现象是（       ）	A
NS1600轨道起重机出现EO4错误报警时的故障范围（ 　）	B
NS1600轨道起重机出现Ｅ０４错误报警时的故障范围（    ）	A
使用两台NS1600轨道起重机起复脱轨机车时，叙述错误的是 (   )。	A
吊复倾翻起重机作业时应(    )。	A
起重机进入作业区前，司机应确认（   ）状态是否良好。	B
在NS1600轨道起重机中，改变起升高度以扩大起重机的工作范围的是(   )。	A
NS1600轨道起重机置于水平场地时，空载吊具垂直中心线之间的水平距离为（      ）。	B
NS1600轨道起重机的起重能力，主要由 (      ) 决定。	B
幅度和相应起吊物品重物的乘积为（        ）。	B
NS1600轨道起重机在使用下车紧急调平功能时，按下调平油缸锁定按钮时（      ）。	C
交绕钢丝绳的主要特点是(   )。t	B
NS1600轨道起重机进入作业区前应按（      ）要求去作。	B
NS1600轨道起重机其手制动机制动时，（     ）	C
NS1600轨道起重机操纵中，自作业开始必须精力集中，不准离开操纵台。每个动作在动作前必须(   )。	B
各种电动机具要安装触电保安器，除按规定（  ）检查绝缘电阻外，每次使用前也必须对绝缘进行检查(按GB：3787-83执行)。	C
DF。机车在车体两侧各设置了4个吊装孔，位于转向架2／5轴上方的在使用时(    )。	C
NS1600轨道起重机润滑管路中不属于主输油管压力建立不起来的原因是（       ）。	C
轴箱发热是由于(   )引起的。	A
起重机吊着物件回转时，应尽量适当地将吊物（   ）。	A
各种机械设备转动部分及有危险的外露部分，均应（   ）。	C
NS1600轨道起重机上车副油箱旁的润滑回路对起重机的（     ）进行润滑。	C
在NS1600轨道起重机吊起重大物件作业中，承受垂直载荷的是（     ）。	A
"发现接触网断线,要立即通知附近的接触网工区或电力调度派人处理.在接触网检修人员到达以前,将该处加以防护,任何人员均应距以断导线接地处所(   )以外。"	C
当一辆棚车转向架破散时，使用轨道起重机起复过程中，叙述错误的一项是（   ）。	C
当一辆棚车空车脱轨，转向架无损坏，使用轨道起重机起复过程中，叙述错误的一项是（  ）。	C
防冻液散热器不能用下列哪种方式清洗。（       ）	B
车辆在曲线上脱轨时，起复作业方法是（  ）。	A
NS1600轨道起重机司机的职责范围是（      ）。	B
NS1600轨道起重机工作人员工作完毕离开起重机时必须按（    ）做。	C
为保证人身安全任何人员携带的物件与接触网设备的带电部分需保持多远距离( )	B
如果几台起重机同时提升一件重物，负责人必须预先确定操作次序，并指定(    )始终参与整个作业过程的指挥监督人员。	A
NS1600轨道起重机随着起重载荷增加，其摆动功能和回转速度（     ）。	B
NS1600轨道起重机在坡道或弯道的线路上作业时，回转惯量增加，为克服作业时回转下滑，必须（    ）。	B
NS1600轨道起重机在作业中执行保护性限动后，操作人员必须谨慎操作，使起重机(  )。	C
NS1600轨道起重机在使用手制动系统时，其下车上有两个指示灯，当同时显示两个绿色时，说明(    )。	A
用两台起重机吊复机车车辆时，吊复法成功的关键在于吊复作业的(    )。	A
NS1600轨道起重机的起升机构的作用是（      ）。	C
起吊物件回转时应尽量适当的将吊物(   )。	C
NS1600轨道起重机的稳定力矩与倾翻之比称为（    ）.	A
NS1600轨道起重机的稳定力矩与倾覆力矩之比称为(     )。	C
NS1600轨道起重机使用手制动时，下车上有两个指示灯，当同时显示两个白色时，说明（   ）。	A
NS1600轨道起重机使用手制动时，下车上有两个指示灯，当显示一个红、绿色时，说明(    )	A
NS1600轨道起重机使用手制动时，下车上有两个指示灯，当同时显示两个绿色时，说明（     ）	A
NS1600轨道起重机使用手制动时，下车上有两个指示灯，当同时显示两个红色时，说明（    ）。	C
NS1600轨道起重机在使用手制动系统时，其下车上有两个指示灯，当同时显示两个白色时，说明(    )。	C
NS1600轨道起重机在使用手制动系统时，其下车上有两个指示灯，当显示一个绿、白色时，说明(    )。	A
液压系统的控制部分由（       ）组成。	B
机车车轮全部脱轨，利用（  ）起复较为适宜。	C
起重机作业中将整个起重机抬起的是支腿液压系统的(    )。	A
单机挂车，接近被连挂车辆（    ）车距离时，显示连结信号后再显示稍行移动信号。	A
NS1600轨道起重机退行信号的鸣笛方式为：(     )	A
如果起重机储存的压缩空气用尽时，下车指示灯显示（    ）。	B
吊钩升起的音响信号显示方法为（  ）。	B
列车或调车中发生脱轨堵塞正线，要迅速恢复行车，（    ）是一种简单易行的方法。	C
NS1600轨道起重机在工况为2271时的支腿跨距为（   ）	B
液压油在工作温度下，液压油滤芯堵塞，则（   ）。	A
NS1600轨道起重机作业时，载荷提升悬挂停留后，再提升时，柴油机（  ）	C
NS1600轨道起重机检查要按“检查程序”进行，在检查中应做到(     )，检、看、听、闻相结合。	A
用两根长3.5M，直径（150—200）mm的合金钢管制作的支承梁是用于起吊（  ）。	A
液压系统双向液压锁阀座漏油的原因是(     )。	A
液压系统液压油缸内漏油严重是由（     ）所造成的。	B
利用机车、起重机、拖拉机等将颠覆、堵塞线路的机车车辆清除出线路，然后抢修线路通车的方法，叫(    )。	B
NS1600轨道起重机在自走行时，必须确保起重臂（  ）	A
NS1600轨道起重机改变吊臂工作幅度的结构是（      ）。	B
内燃机车脱轨拉复时，注意事项中叙述错误的一项是（   ）	A
起重机(  )时，禁止吊钩上悬挂重物。	A
机油温度过高会造成直接不良后果是（       ）。	A
NS1600轨道起重机司机的职责范围之一是（       ）。	C
柴油机冷却水系统中，应使用（           ）。	C
出动救援列车应使用（   ）牵引。                                                          	C
由杠杆的平衡原理可知，靠起重机吊臂一侧的走行轮就是杠杆的（   ）。	B
改变支腿液压系统工作状态的是（    ）。	C
在NS1600轨道起重机作业中将整个起重机抬起的是支腿液压系统的（     ）。	B
NS1600轨道起重机上柴油机型式（    ）。	B
NS1600轨道起重机柴油机带动的发电机，其（    ）。	A
NS1600轨道起重机柴油机带动的发电机，其（    ）。 	C
NS1600轨道起重机液压系统中的控制调节元件是(    )。	A
NS1600轨道起重机液压系统中的执行元件是(    )。	A
NS1600轨道起重机回送时，将无动力装置塞门开放，使（   ）的压缩空气顶开止回阀进入总风缸。	B
NS1600轨道起重机回送时，将无动力装置塞门开放，使（  ）的压缩空气顶开止回阀进入总风缸。	C
检查和校正曲轴的弯曲和扭曲，属于柴油机的（  ）。	A
在夜间通过沟渠或有碍通行的处所时，应携带（   ）。	B
NS1600轨道起重机吊臂上安装的卷线盒在维护时打开防护罩，清洁集电环，然后涂抹（      ）。	C
在捆绑与起吊作业中，与撬的操作方式差不多的是(    )。	A
起复车辆连接转向架与车体时，用两条链分别兜在转向架的拱板或铸钢侧架的轴箱上的连接工具是（）	C
NS1600轨道起重机的自动调平装置的自动控制模式／手动控制模式开关的指示灯闪烁，说明(    )。	A
柴油机冷却水系统中，应使用（  ）。	C
NS1600轨道起重机能吊起的货物或物料的净重量为(     )。	B
使用两台轨道起重机同时吊起一个物件时，（   ）	C
指挥NS1600轨道起重机吊钩升起的手信号为（          ）。	A
指挥NS1600轨道起重机转车向右的手信号为（       ）。	B
指挥轨道起重机吊钩降落的手信号为（    ）。	A
指挥NS1600轨道起重机吊钩降落的手信号为（         ）。	A
工作时，必须按规定穿戴好（   ），并注意整洁。	A
救援列车值班人员接到调度出动命令后，应立即召集救援列车当班和休班的专业人员，保证在（   ）内出动。	C
事故应急救援实行（    ）制度。	A
救援列车的救援方案经现场总指挥批准后进行作业时，严格执行（     ）单一指挥。	B
重大事故的应急救援，由（   ）启动。	C
铁路线路分为正线、（    ）、段管线、岔线、安全线及避难线。	A
铁路线路直线轨距标准为(     ) mm。	B
轨距是钢轨头部踏面下（     ） mm范围内两股钢轨工作边之间的最小距离。	C
侧向接发停车旅客列车的单开道岔，不得小于（    ）号。	B
段管线的対称道岔不得小于（    ）号。	A
进站信号机在正常情况下的显示距离不得小于（    ）。	C  
铁路信号机应采用（    ）信号机。	A
电气化区段运行的机车应有“电化区段（    ）”的标识。	A
车钩中心水平线距钢轨顶面高度为815～（    ）mm。  	B
轮对内侧距离为（    ） mm，允许偏差为±3 mm。	A
机车轮对踏面擦伤深度不得超过（    ） mm。	B
车轮踏面上的缺陷或剥离长度不超过40 mm，深度不超过（    ） mm。	C
轮缘的垂直磨耗高度不超过（    ） mm，并无碾堆。	A
接触网标称电压值为（    ）kV，最高工作电压为27.5 kV，短时（5 min）最高工作电压为29 kV，最低工作电压为19 kV。	C
为保证人身安全，除专业人员执行有关规定外，其他人员（包括所携带的物件）与牵引供电设备带电部分的距离，不得小于(    ) mm。 	B
在设有接触网的线路上，(    )攀登车顶及在车辆装载的货物之上作业；如确需作业时，须在指定的线路上，将接触网停电接地并采取安全防护措施后，方准进行。	B
驾驶机车的人员，必须持有（    ）颁发的驾驶证。	C 
双机或多机牵引时，本务机车的职务由（    ）机车担当。	A
机车乘务组以外人员登乘机车时，除铁路机车运用管理规则指定的人员外，须凭（   ）登乘。  	C
铁路职工或其他人员发现设备故障危及行车和人身安全时，应立即向开来列车发出（   ）信号，并迅速通知就近车站、工务、电务或供电人员。	A
铁路信号分为（    ）信号和听觉信号。 	B
调车手信号指挥机车向显示人反方向去的信号，昼间用展开的绿色信号旗、夜间用绿色灯光（    ）。  	B
调车手信号指挥机车向显示人方向稍行移动的信号，昼间为拢起的红色信号旗直立平举，再用展开的绿色信号旗（    ）。	B
夜间机车出入段时的道岔开通信号为:（    ）灯光高举头上左右摇动。	B
联系用手信号显示股道号码时，夜间白色灯光左右摇动后，从左下方向右上方高举，表示股道开通（    ）道。	B
联系用手信号显示股道号码时，夜间白色灯光作圆形转动，表示股道开通（    ）道。  	B
联系用手信号显示股道号码时，昼间右臂向右平伸，左臂向右下斜45°角，表示股道开通（    ）道。   	C
联系用手信号显示股道号码时，夜间白色灯光作圆形转动后，再高举头上左右小动，表示股道开通（    ）道。	B
联系用手信号显示十、五、三车距离信号中的“十车”（约110米）信号时，昼间的显示方式为展开的绿色信号旗单臂平伸连续下压 （    ）次。 	C
道岔表示器夜间显示（    ）灯光时，表示道岔位置开通直向。	C
听觉信号，长声为3 s，短声为1 s，音响间隔为1 s。重复鸣示时，须间隔（    ） S以上。	B
机车的鸣笛鸣示方式中，起动注意信号的鸣示方法为（    ）。  	A
三不伤害是指：不伤害自己、不伤害他人、（    ）。	C
新入路、新转岗、新提职人员必须参加（    ）及其他规定的安全教育及培训。	B
上、下机车要（    ）车门方向，要抓紧站稳。	A
关闭车门、车窗时要轻关慢放，防止（    ）。	B
严禁在（    ）行走。	C
横越停有机车、车辆的线路时，先确认机车、车辆暂不移动，然后在该机车、车辆端部（    ）ｍ以外绕行通过。	C
劳动安全管理工作实行厂段教育、车间教育和（    ）三级分层管理。	B
严禁脱岗、串岗、私自替班或换班，不得做与（    ）无关的事情。	A
横越线路时，必须做到一站、二看、三（    ）。	C
消防工作方针是（    ）。	A
我国现行的安全生产方针是（    ）。	A
从业人员应当接受安全生产教育和培训，掌握本职工作所需的（    ）知识，提高安全生产技能，增强事故预防和应急处理能力。	C
（    ）是指在时间和空间上失去控制，对财物和人身造成一定损害的燃烧现象。	B
在机车（    ）作业时，应站稳，抓牢、防止滑跌。	C
在机车电器间、机械间、冷却间检查时禁止（    ）。	A
在机车（    ）作业时，必须系好安全带。	A
值班期间饮酒、打牌、赌博。属于青藏铁路公司（    ）类“红线”。	B
当班饮酒，机车乘务员、值班员、调度员等主要行车工种擅离职守、违反规定班中睡觉、打牌、赌博。属于青藏铁路公司（    ）类“红线”。	C
机车车辆操纵人员擅自动车；临时限速地段超速运行。属于青藏铁路公司（   ）类“红线”。	B
违规进入高铁线路防护栅栏，属于青藏铁路公司（   ）类“红线”。	C
在机车上作业时不得手扶门框，开关车门要防止（   ）。进入机械间巡视必须系紧衣扣、鞋带，站稳抓牢。	A
企业安全生产制度规定，管生产必须管（    ）。	A
查事故隐患就是查管理漏洞、人的不安全行为和（    ）。	C
严格执行作业标准、操作规程等有关的安全规章制度，严禁（    ）作业过程。	B
发生火灾的三要素是:可燃物、（    ）和引火源。	C
“三懂三会”指懂得本岗位生产过程中的火灾危险性；懂得火灾预防措施；懂得扑救初起的方法。会报警；会使用各种（    ）；会扑救初起火灾。	C
油类着火应该用（    ）灭火器扑救。	B
干粉灭火剂适合扑救易燃液体、电气火灾和（    ）的火灾。	B
水是常用灭火剂，其主要的灭火作用是（    ）。	B
接触网额定电压值为（    ）。	B
所有通向机车车顶的梯子和可以攀爬到机车顶部的位置，均应喷涂（    ）的警告标志。	C
通过道口车辆限界及货物装载高度（从地面算起）不得超过（    ）m，超过时，应绕行立交道口或进行货物倒装。	A
发现接触网导线断落碰地时，必须距断落碰地的导线保持（   ）米以上的距离，防止跨步电压伤人。	A
行人持有长大、飘动等物件通过道口时，不得高举挥动，应与牵引供电设备带电部分保持（   ）以上的距离。	B
在接触网（   ）时，严禁用竹竿及金属长大物件等测量接触网与房屋、建筑、设备的距离。	A
电力机车升起受电弓后，机车主回路及辅助回路均带有（    ）。	A
凡电力机车、车辆停在接触网下时，在未与调度员取得联系停电并挂好接地线前，无论任何原因以及接触网有电与否，绝对禁止任何人登上（    ）。	C
电力机车进入整备作业区前，必须（    ）。	B
燃着物体与接触网带电设备的距离超过（    ）以上，可以在不停电的情况下用水浇，但必须特别注意使水流不向接触网的方向喷射，并保持水流与带电部分的距离在2米以上。	A
人体触电方式有：直接接触触电、间接接触触电、（    ）触电、高压电场对人体的伤害、静电对人体的伤害、雷电。	C
为保证人身安全，除牵引供电专业人员按规定作业外，任何人员及所携带的物件、作业工器具等与回流线、架空地线、保护线保持（    ）以上距离，距离不足时，牵引供电设备须停电。	A
跨步电压是指电气设备碰壳或电力系统一相发生接地（    ）时，电流从接地处四散流出，在地面上形成不同的电位分布，人走近短路点时，两脚之间的电位差。	B
电气化铁路附近发生火灾时，距牵引供电设备带电部分不足（    ）的燃着物体，使用水或灭火器灭火时，牵引供电设备必须停电	B
电气化铁路附近发生火灾时，距牵引供电设备带电部分超过（    ）的燃着物体，使用沙土灭火时，牵引供电设备可不停电，但须保持灭火机具及沙土等与带电部分的距离在2m以上。	A
我国规定（    ）伏及以下为安全电压。	C
触电时人体会受到某种程度的伤害，按其形式可分为（   ）两种。	C
持有高长物件的人员从接触网下方通过时，须将物件保持（    ）通过不得高举挥动。	A
禁止在接触网下使用或运送侵入（    ）之内的各种工具、设备物件等。	C
在电气化铁路的线路上登顶作业时，必须在有人（　 　）监护的情况下进行。	B
严禁在未办理接触网（    ）、确认接触网停电并接地的情况下攀登机车上部。	A
禁止在带电的情况下接触（    ）导线和各种用电设备的导电部分。	C
《电气化铁路有关人员电气安全规则》规定，发现牵引供电设备断线，任何人均应距已断线索（    ）以外。	C
发生高压接地故障时，在切断电源前，任何人与接地点的距离，室外不得小于（    ）。	C
高压指对地电压在（    ）以上，如10kV电力线路、25kV接触网线路等。	B
机车在区间因故必须攀登上车顶作业时，应向（    ）调度请求停电并挂好接地线后方可进行。	A
（    ）是指电流通过人体时，人体外部组织受到局部损坏。	C
所谓触电是指（    ）流过人体时对人体产生的生理和病理伤害。	B
“220”文件的落实情况是机务段(    )水平的标志。	B
"电力机车微机控制系统一般采用三级分级结构,不包括(     )。"	C
“220”检查中，受检查的单位凡因故不能接受被抽项目的检查时，(     )。	A
每(    )必须对实际发生的机破进行一次机型、部位、责任、措施落实情况的分析。 	B
机车电器按其执行机构的不同可分为有触点电器和(     )电器。	A
两车钩连挂后，其两个车钩的中心水平线相差不得超过(    )mm。	B
机车牵引电动机的半悬挂称为(    )。	C
所谓整备作业，就是对机车进行出发前的准备和供应，使其达到(    )规定的技术状态。	A
电传动机车动力制动包括(     )、再生制动和液力制动	B
机车定期检修的修程分为大修、中修、小修和(    )。	A 
段内停放机车和整备作业的线路应平直，线路纵断面的坡度不得超过(    )。	B
接触网额定电压为25KV，最低工作电压为(    )。	C
对机车车辆，建筑物的防火设施及器具、消防组织、防火防爆措施、危险品检查设备，(    )检查一次。	B
接触网带电部分至固定接地物的距离，不少于300mm，距机车车辆或装载货物的距离，不少于(     )。	A
客运机车要求速度高，货运机车需要牵引力大，而调车机车要具有(    )的特点。	A
电力机车主要由车体、车底架、(    )车钩缓冲装置及制动装置和一整套电气设备等组成。	C
